Début : 25/09/2023 08:00:00, Fin : 25/09/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/09/2023 08:00:00, Fin : 28/09/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 05/10/2023 08:00:00, Fin : 05/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/10/2023 08:00:00, Fin : 26/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 23/11/2023 08:00:00, Fin : 23/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 30/11/2023 08:00:00, Fin : 30/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/12/2023 08:00:00, Fin : 28/12/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 04/01/2024 08:00:00, Fin : 04/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 18/01/2024 08:00:00, Fin : 18/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/01/2024 08:00:00, Fin : 25/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 22/02/2024 08:00:00, Fin : 22/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 29/02/2024 08:00:00, Fin : 29/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/03/2024 08:00:00, Fin : 28/03/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 04/04/2024 08:00:00, Fin : 04/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/04/2024 08:00:00, Fin : 25/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 30/05/2024 08:00:00, Fin : 30/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 06/06/2024 08:00:00, Fin : 06/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 13/06/2024 08:00:00, Fin : 13/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 20/06/2024 08:00:00, Fin : 20/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/06/2024 08:00:00, Fin : 27/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 04/07/2024 08:00:00, Fin : 04/07/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 29/09/2023 08:00:00, Fin : 29/09/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 06/10/2023 08:00:00, Fin : 06/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/10/2023 08:00:00, Fin : 27/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 24/11/2023 08:00:00, Fin : 24/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 01/12/2023 08:00:00, Fin : 01/12/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 29/12/2023 08:00:00, Fin : 29/12/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 05/01/2024 08:00:00, Fin : 05/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 19/01/2024 08:00:00, Fin : 19/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/01/2024 08:00:00, Fin : 26/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 23/02/2024 08:00:00, Fin : 23/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 01/03/2024 08:00:00, Fin : 01/03/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 29/03/2024 08:00:00, Fin : 29/03/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 05/04/2024 08:00:00, Fin : 05/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/04/2024 08:00:00, Fin : 26/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 31/05/2024 08:00:00, Fin : 31/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 07/06/2024 08:00:00, Fin : 07/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 14/06/2024 08:00:00, Fin : 14/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 21/06/2024 08:00:00, Fin : 21/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/06/2024 08:00:00, Fin : 28/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 05/07/2024 08:00:00, Fin : 05/07/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/09/2023 08:00:00, Fin : 27/09/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 04/10/2023 08:00:00, Fin : 04/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/10/2023 08:00:00, Fin : 25/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 01/11/2023 08:00:00, Fin : 01/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 22/11/2023 08:00:00, Fin : 22/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 29/11/2023 08:00:00, Fin : 29/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/12/2023 08:00:00, Fin : 27/12/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 03/01/2024 08:00:00, Fin : 03/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 17/01/2024 08:00:00, Fin : 17/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 24/01/2024 08:00:00, Fin : 24/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 21/02/2024 08:00:00, Fin : 21/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/02/2024 08:00:00, Fin : 28/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/03/2024 08:00:00, Fin : 27/03/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 03/04/2024 08:00:00, Fin : 03/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 24/04/2024 08:00:00, Fin : 24/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 29/05/2024 08:00:00, Fin : 29/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 05/06/2024 08:00:00, Fin : 05/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 12/06/2024 08:00:00, Fin : 12/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 19/06/2024 08:00:00, Fin : 19/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/06/2024 08:00:00, Fin : 26/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 03/07/2024 08:00:00, Fin : 03/07/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 02/11/2023 08:00:00, Fin : 02/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 03/11/2023 08:00:00, Fin : 03/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/12/2023 08:00:00, Fin : 25/12/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 01/01/2024 08:00:00, Fin : 01/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 14/03/2024 08:30:00, Fin : 14/03/2024 11:30:00, Enseignant : Inconnu, Lieu : Stat 6 = Info - C 129, Sujet : UCE 4 APPLICATION ARCHITECTUR, Type : TP
Début : 16/04/2024 08:30:00, Fin : 16/04/2024 11:30:00, Enseignant : Inconnu, Lieu : Stat 3 = Info - C 135, Sujet : UCE 4 APPLICATION ARCHITECTUR, Type : TP
Début : 02/05/2024 08:00:00, Fin : 02/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 03/05/2024 08:00:00, Fin : 03/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/09/2023 08:00:00, Fin : 25/09/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 02/10/2023 08:00:00, Fin : 02/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 23/10/2023 08:00:00, Fin : 23/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 30/10/2023 08:00:00, Fin : 30/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 20/11/2023 08:00:00, Fin : 20/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/11/2023 08:00:00, Fin : 27/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 15/01/2024 08:00:00, Fin : 15/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 22/01/2024 08:00:00, Fin : 22/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 19/02/2024 08:00:00, Fin : 19/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/02/2024 08:00:00, Fin : 26/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/03/2024 08:00:00, Fin : 25/03/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 22/04/2024 08:00:00, Fin : 22/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 29/04/2024 08:00:00, Fin : 29/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 06/05/2024 08:00:00, Fin : 06/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/05/2024 08:00:00, Fin : 27/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 03/06/2024 08:00:00, Fin : 03/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 10/06/2024 08:00:00, Fin : 10/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 17/06/2024 08:00:00, Fin : 17/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 24/06/2024 08:00:00, Fin : 24/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 01/07/2024 08:00:00, Fin : 01/07/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/09/2023 08:00:00, Fin : 26/09/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 03/10/2023 08:00:00, Fin : 03/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 24/10/2023 08:00:00, Fin : 24/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 31/10/2023 08:00:00, Fin : 31/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 21/11/2023 08:00:00, Fin : 21/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/11/2023 08:00:00, Fin : 28/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/12/2023 08:00:00, Fin : 26/12/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 02/01/2024 08:00:00, Fin : 02/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 16/01/2024 08:00:00, Fin : 16/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 23/01/2024 08:00:00, Fin : 23/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 20/02/2024 08:00:00, Fin : 20/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 27/02/2024 08:00:00, Fin : 27/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/03/2024 08:00:00, Fin : 26/03/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 02/04/2024 08:00:00, Fin : 02/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 23/04/2024 08:00:00, Fin : 23/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 30/04/2024 08:00:00, Fin : 30/04/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 07/05/2024 08:00:00, Fin : 07/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/05/2024 08:00:00, Fin : 28/05/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 04/06/2024 08:00:00, Fin : 04/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 11/06/2024 08:00:00, Fin : 11/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 18/06/2024 08:00:00, Fin : 18/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/06/2024 08:00:00, Fin : 25/06/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 02/07/2024 08:00:00, Fin : 02/07/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/09/2023 08:00:00, Fin : 28/09/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 05/10/2023 08:00:00, Fin : 05/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 26/10/2023 08:00:00, Fin : 26/10/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 23/11/2023 08:00:00, Fin : 23/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 30/11/2023 08:00:00, Fin : 30/11/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 28/12/2023 08:00:00, Fin : 28/12/2023 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 04/01/2024 08:00:00, Fin : 04/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 18/01/2024 08:00:00, Fin : 18/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 25/01/2024 08:00:00, Fin : 25/01/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
Début : 22/02/2024 08:00:00, Fin : 22/02/2024 19:00:00, Enseignant : Inconnu, Lieu : Lieu inconnu, Sujet : Reservation de salles, Type : Type inconnu
